URL,Cache | L1 Cache,Cache | L2 Cache,Cache | L3 Cache,Clock | Base Clock,Clock | Turbo Clock,Clock | Unlocked Multiplier,Cooling | 120mm Fans,Cooling | 120mm Radiator Support,Cooling | 140mm Fans,Cooling | 140mm Radiator Support,Cooling | 200mm Fans,Cooling | 240mm Radiator Support,Cooling | 280mm Radiator Support,Cooling | 360mm Radiator Support,Cooling | 80mm Fans,Cooling | Supported CPU cooler height,Core Characteristics | Panel,Core Characteristics | Refresh Rate,Core Characteristics | Resolution,Core Characteristics | Response Time,Core Characteristics | Size,Core | Cache,Core | Chipset,Core | Clock,Core | Controller,Core | Efficiency Rating,Core | Form Factor,Core | Height,Core | NAND,Core | PCI-E cables 6-pin,Core | PCI-E cables 8-pin,Core | Protocol,Core | RPM,Core | Radiator,Core | Ram Type,Core | Size,Core | Socket,Core | Sticks,Core | Supported Sockets,Core | TDP,Core | Timings,Core | Unlocked,Core | Watt,Cores | Cores,Cores | Threads,Dimensions | 6-pin connectors,Dimensions | 8-pin connectors,Dimensions | Depth,Dimensions | Height,Dimensions | Length,Dimensions | Motherboard,Dimensions | Power Supply,Dimensions | Slots,Dimensions | Supported GPU length,Dimensions | Width,"Disks | 2.5""","Disks | 2.5""/3.5""","Disks | 3.5""","Disks | 5.25""",Display Connectors | DVI,Display Connectors | Display Port,Display Connectors | DisplayPort,Display Connectors | HDMI,Display Connectors | VGA,Extension Cards | PCI-E 3.0 x1,Extension Cards | PCI-E 3.0 x16,Extension Cards | PCI-E 3.0 x4,Extension Cards | PCI-E 3.0 x8,Extension Cards | PCI-E 4.0 x1,Extension Cards | PCI-E 4.0 x16,Extension Cards | PCI-E 4.0 x4,Extension Cards | PCI-E 4.0 x8,Fans | 120mm Fans,Fans | 140mm Fans,Fans | 200mm Fans,Fans | 80mm Fans,Fans | 92mm Fans,Fans | Support additional Fan,Memory | Memory Capacity,Memory | Memory Type,Memory | Ramslots,Memory | Supported Ramspeeds,Misc | Adjustable Height,Misc | Cable Management,Misc | Color,Misc | Curved,Misc | Dust Filters,Misc | Integrated graphics,Misc | Noise Isolation,Misc | Notices,Misc | Product Page,Misc | Socket,Misc | Speakers,Misc | Sync,Misc | TDP,Misc | Wifi,Misc | Window,Model Info | EAN,Model Info | MPN,Model Info | Producer,Model Info | UPC,Model Info | Year,Performance | Boost Clock,Performance | Memory Clock,Performance | Vram,Peripherals | USB 3 Headers,Peripherals | USB 3 Slots,Peripherals | USB 3 Type-C,Storage | M.2 (PCI-E 3.0),Storage | M.2 (PCI-E 4.0),Storage | SATA
https://www.pc-kombo.com/us/product/case/0840006621928_Corsair 4000D Airflow Tempered Glass Midi-Tower - weiß Window,,,,,,,2/6,1,0/4,0,0/0,0,1,1,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453 mm,466 mm,,E-ATX,ATX,,360 mm,230 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,0840006621928,CC-9011201-WW,Corsair,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4711099472260_Aerocool Skyline ARGB,,,,,,,0/5,2,0/0,0,0/0,1,0,0,0/0,154 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441 mm,464 mm,,ATX,ATX,,380 mm,196 mm,4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4711099472260,SKYLINE-A-BK-V1,Aerocool,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4711099472277_Aerocool Skyline ARGB V2 Midi-Tower - schwarz,,,,,,,1/7,0,0/0,0,0/0,1,0,0,0/0,1548 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385 mm,440 mm,,ATX,ATX,,380 mm,180 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4711099472277,ACCM-PV39112.11,Aerocool,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/0761345800129_Antec P5 Mini - schwarz,,,,,,,1/3,1,1/1,0,0/0,1,0,0,0/0,155 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475 mm,395 mm,,Micro-ATX,ATX,,360 mm,195 mm,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,Yes,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,0761345800129,0-761345-80012-9,Antec,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4260052187937_Be quiet! Pure Base 500DX - schwarz,,,,,,,0/6,0,3/5,0,0/0,1,0,1,0/0,190 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 mm,463 mm,,ATX,ATX,,369 mm,232 mm,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4260052187937,BGW37,be quiet!,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4260052187944_Be quiet! Pure Base 500DX - weiß,,,,,,,0/6,0,3/5,0,0/0,1,0,1,0/0,190 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 mm,463 mm,,ATX,ATX,,369 mm,232 mm,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4260052187944,BGW38,be quiet!,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883212697_BitFenix Aegis Core Micro-ATX - blau_schwarz,,,,,,,1/8,1,0/5,0,0/0,2,0,2,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480 mm,470 mm,,Micro-ATX,ATX,,350 mm,205 mm,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883212697,BFC-AEG-300-BKWN1-RP,BitFenix,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883212703_BitFenix Aegis Core Micro-ATX - gelb_schwarz,,,,,,,1/8,1,0/5,0,0/0,2,0,2,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480 mm,470 mm,,Micro-ATX,ATX,,350 mm,205 mm,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883212703,BFC-AEG-300-YKWN1-RP,BitFenix,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883212680_BitFenix Aegis Core Micro-ATX - rot_schwarz,,,,,,,1/8,1,0/5,0,0/0,2,0,2,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480 mm,470 mm,,Micro-ATX,ATX,,350 mm,205 mm,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883212680,BFC-AEG-300-RKWN1-RP,BitFenix,886027012154,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883217197_BitFenix Nova Mesh Midi-Tower - schwarz,,,,,,,1/6,1,0/4,0,0/0,1,0,1,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460 mm,437 mm,,E-ATX,ATX,,360 mm,210 mm,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4712883217197,BFC-NVM-300-KKXSK-RP,BitFenix,886027158791,,,,,,,,,,
